gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
2500801,3707.67368815428,65608.4505979536,26076,25483.8283381607,1.14,58083.0551938102,14.19,9.85984169986878,10.441683808176,10.60135716923,10.7764632096945,11.0621518412969,11.3199549948375
2500802,2797.78747680099,85737.8606841756,26724,21830.1975665621,-7.65,108746.076111552,24.83,10.1562303643941,10.3477818500035,10.4624139249953,10.6604583352543,10.8722035740169,11.1719354732437
2500803,2306.82382702436,70415.7554610951,24720,21276.2411118215,-12.4,71573.9137663398,22.32,10.1880789831608,10.2470316061788,10.434625195501,10.5981519073118,10.9325430520483,11.1664468794894
2500804,2630.1123117931,56787.8799405043,16704,16987.9823665543,-17.96,69529.6186086476,17.62,10.0325685979784,10.3576848158278,10.5563799056638,10.8814290376981,11.2720966861622,11.7025860378658
2500805,1202.78256001425,73637.2835595694,23124,23570.1270169034,-3.04,69497.3467968079,44.59,10.1040597039505,10.2161656034473,10.2281365127719,10.5871553244674,10.722731410817,11.0469125608286
2500806,1712.43557658855,60344.3395330821,21672,21598.8218060166,-2.3,57518.2984866153,27.32,10.0391558370088,10.1399931177809,10.4351210891675,10.7949435786207,11.0850608629137,11.544889376343
2500901,214.089909544714,75907.4458049329,23004,29222.9075872675,13.4,51113.5850599659,223.45,9.7045376043217,10.0047478394424,10.2677805824463,10.2804108086447,10.3612405477819,10.514300082554
2500902,573.173301767012,79427.1043937119,30108,23722.5056356642,10.41,60685.9009410358,77.81,9.99733878782746,10.2222584800235,10.4671236723603,10.4743037334606,10.6213454932758,10.8187968726705
2500903,854.575884340598,67580.6120278443,22812,17902.8575841907,6.67,58851.3725603017,42.92,10.1289985294434,10.3388867404264,10.4168709258106,10.7517331101195,10.8704491344625,11.3026856161594
2500904,444.972954687794,65236.4867994516,20868,22950.744366759,3.02,70558.5929169213,129.87,9.81808127455832,9.97861369762305,10.1155989168405,10.3539157575224,10.6412418145198,10.938113844389
2500905,215.356688808817,64311.8468341626,22908,20779.691296577,4.43,59722.7114799737,207.7,9.83543501401494,10.0186596911358,10.1217396557195,10.364132362575,10.5256603990552,10.8725531493336
2500906,146.917590463452,61555.3515779941,20640,22439.5864426572,5.05,60656.1115762606,344.17,9.76003955861965,9.98728226345068,9.99224512306663,10.0646114132626,10.240813244869,10.6079499278835
2501101,625.123565998705,53558.8451377695,17352,18275.0539086539,-12.93,46338.5981312216,55.25,9.89110543931885,10.1620526650598,10.4228912385017,10.6738486185,11.0344003339263,11.348533613809
2501102,114.962163365683,56071.6212851258,19524,19344.4825731623,2.08,60900.632612123,405.48,9.62642952724675,9.95853998353734,10.064843908977,10.0808713031143,10.4483687040764,10.7943124784201
2501103,130.415633714093,62615.504917786,18900,18288.1031646816,6.16,74139.5228075965,381.72,9.79479113857168,9.9834793977968,10.0674096596417,10.1231452227693,10.3555383332861,10.5835648362187
2501104,63.9859914227823,49451.6815130187,19608,15039.1599522325,-4.94,85510.3715869638,863.07,9.58556578559181,9.75158512090043,9.86604315816101,10.0233989431218,10.323073669992,10.6287469591727
3300301,48.5009068987951,45620.6549397441,16140,15788.4808674123,-6.83,80089.9484214254,1177.71,9.41499035725341,9.71936713184266,9.90365484478692,9.97803152614203,10.2568955742106,10.5021603172834
3300701,55.5054125981313,50427.6100434482,17724,19306.1493518634,-1.24,78027.0349107488,1150.98,9.32068182084062,9.66292693432623,9.90541653528016,9.86936824545357,10.1242816677381,10.3441234161477
3300801,74.3570984388614,62332.9848931878,18504,17360.7943032639,-2.84,111885.13042473,962.12,9.65343881343245,9.83874765292608,9.92952540275016,10.0261300125124,10.1861851136998,10.4994898406939
