gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
5105905,"Fairfax County (Southwest)--Centreville (Southeast) & Lorton",252.616088765844,251.359291156925,250.114939259169,247.662831103597,240.586751059273,229.650989153204,210.513407140013,194.320067852113,168.410725104008,15050.4594269678
5105906,"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia",503.165891161792,500.662577491585,498.18404937434,493.299892356572,479.205610423265,457.423536663686,419.304908550868,387.050684790061,335.443926838325,13705.0735149701
5105907,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads",140.859968942012,140.159172706739,139.465315465281,138.098008304143,134.152351422825,128.05451625272,117.38330723453,108.353821933186,93.906645552117,13246.4722766186
5105908,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon",39.3159676035175,39.1203647020775,38.9266994420723,38.5450653127009,37.4437780492644,35.7417872912047,32.7633058172905,30.243051210693,26.2106442320292,11464.4085616514
5106100,"Rappahannock-Rapidan Regional Commission",-1370.75578577566,-1363.93610563319,-1357.18394652161,-1343.8782215822,-1305.48170072562,-1246.14162366921,-1142.29648846764,-1054.42752726159,-913.837190661482,8548.9853897943
5110701,"Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village)",144.870759094076,144.150008394598,143.436394990156,142.030155594231,137.972151331513,131.700689604375,120.725632917438,111.439045467825,96.5805056330664,14386.9276508431
5110702,"Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport",1257.74540966998,1251.48796920851,1245.29248424437,1233.08373385203,1197.85277084649,1143.40491686523,1048.12117407919,967.496468716585,838.496939301065,19278.8173501571
5110703,"Loudoun County (West & South)--Leesburg Town",-193.847766393337,-192.883349792886,-191.928481849918,-190.046830190775,-184.616920316079,-176.225242976197,-161.539805150507,-149.113666469257,-129.231844672155,15406.569071924
5115301,"Prince William County (North & West)--Linton Hall & Gainesville",-40.8985091547329,-40.6950343372991,-40.4935740867659,-40.0965783364918,-38.9509612825641,-37.180463628014,-34.0820910635957,-31.4603917871864,-27.2656732704563,15453.610101923
5115302,"Prince William County (Northeast)",-800.348409117058,-796.366576697979,-792.424167386667,-784.655303473552,-762.236579799814,-727.589463016619,-666.957007661102,-615.652622237529,-533.565606248605,13269.9570314109
5115303,"Prince William County (East)",-847.027329955414,-842.813264585664,-838.640921949896,-830.418952500459,-806.692696070037,-770.024846258528,-705.856109583803,-651.559485577731,-564.684887641306,12187.1598529261
5117700,"George Washington Regional Commission (South)",-1467.65313794405,-1460.3513816788,-1453.12191928869,-1438.87562619752,-1397.7648934632,-1334.23012584035,-1223.04428191652,-1128.963952343,-978.435425513009,8813.85703653291
5117900,"George Washington Regional Commission (North)",-1092.21543886819,-1086.78153180614,-1081.40142532441,-1070.79945058603,-1040.205180048,-992.923126895981,-910.179532690283,-840.165722608283,-728.143626337889,11303.3984162616
5151000,"Alexandria City",669.253105130087,665.923487545144,662.626836612471,656.13049516351,637.383909509608,608.411913645938,557.710920752126,514.810080955771,446.168736726297,12582.4663614557
5160001,"Fairfax County (Central)--Fairfax City & Burke",606.077130795078,603.061821262105,600.076366150322,594.193264578964,577.216314612,550.979208728186,505.06427492997,466.21317705718,404.051419941674,15032.6707939369
5161001,"Fairfax County (Northeast)--McLean & Idylwood",1493.97475696806,1486.54204616833,1479.18292750627,1464.68113370417,1422.83310161475,1358.15886937864,1244.97896410035,1149.21135167307,995.983171176817,16755.9315935779
5168701,"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley",-557.285205008993,-554.512641838559,-551.767529836387,-546.358044408218,-530.747814276267,-506.622914559528,-464.404337622655,-428.680927163899,-371.523470477756,12952.7569494392
